location,text_x
Arkansas,835
Alaska,823
Alabama,843
Arizona,893
California,921
Colorado,909
Connecticut,893
DC,956
Delaware,909
Florida,947
Hawaii,882
Iowa,852
Idaho,865
Illinois,850
Indiana,848
Kansas,865
Kentucky,912
Louisiana,935
Massachusetts,933
Maryland,839
Maine,935
Michigan,858
Minnesota,890
Missouri,929
Mississippi,917
Montana,876
North Carolina,925
North Dakota,910
Nebraska,927
New Hampshire,926
New Jersey,877
New Mexico,870
Nevada,913
New York,953
Ohio,907
Oklahoma,870
Oregon,858
Pennsylvania,942
Rhode Island,827
South Carolina,922
South Dakota,877
Tennessee,811
Texas,840
Utah,926
Virginia,917
Vermont,897
Washington,976
Wisconsin,833
West Virginia,820
Wyoming,825