State ,TrumpVote,Compound,Positive,Negative ,TrumpVote,,Trump Won ,Trump Won +,Trump Won -,,,HRC Won,HRC Won +,HRC Won -,,Trump Won ,HRC Won,,Trump Won +,HRC Won +,,Trump Won -,HRC Won -
AZ,0.518900234,0.0617375,0.02475,0,0.518900234,AZ,0.0617375,0.02475,0,,CA,-0.207264396,0.04698901,0.12949231,,0.0617375,-0.207264396,,0.02475,0.04698901,,0,0.12949231
CA,0.338717892,-0.207264396,0.04698901,0.12949231,0.338717892,FL,0.163955,0.15428333,0.09823333,,CO,0.627864407,0.28577966,0,,0.163955,0.627864407,,0.15428333,0.28577966,,0.09823333,0
CO,0.473166666,0.627864407,0.28577966,0,0.473166666,GA,0.01048,0.03335,0.04641,,CT,0,0,0,,0.01048,0,,0.03335,0,,0.04641,0
CT,0.428584525,0,0,0,0.428584525,IA,0.8741,0.473,0,,IL,0.205484211,0.12331579,0.10875789,,0.8741,0.205484211,,0.473,0.12331579,,0,0.10875789
FL,0.506188355,0.163955,0.15428333,0.09823333,0.506188355,KY,0.3182,0.365,0,,MA,-0.306164706,0,0.15082353,,0.3182,-0.306164706,,0.365,0,,0,0.15082353
GA,0.526611726,0.01048,0.03335,0.04641,0.526611726,MI,0.391042373,0.3829661,0.03783051,,MD,0,0,0,,0.391042373,0,,0.3829661,0,,0.03783051,0
IA,0.550635478,0.8741,0.473,0,0.550635478,MO,0.100877193,0.05285965,0.03631579,,MN,0,0,0,,0.100877193,0,,0.05285965,0,,0.03631579,0
IL,0.409799486,0.205484211,0.12331579,0.10875789,0.409799486,NC,0,0,0,,NJ,0.2023,0.217,0.172,,0,0.2023,,0,0.217,,0,0.172
KY,0.65670629,0.3182,0.365,0,0.65670629,NE,0.8999,0.379,0,,OR,0,0,0,,0.8999,0,,0.379,0,,0,0
MA,0.353487213,-0.306164706,0,0.15082353,0.353487213,PA,0.177904478,0.05713433,0,,VA,0.077850667,0.154,0.10746667,,0.177904478,0.077850667,,0.05713433,0.154,,0,0.10746667
MD,0.359837503,0,0,0,0.359837503,SC,-0.6597,0.141,0.322,,WA,0.053590476,0.2692381,0.13428571,,-0.6597,0.053590476,,0.141,0.2692381,,0.322,0.13428571
MI,0.501176682,0.391042373,0.3829661,0.03783051,0.501176682,TN,-0.021397333,0.19776,0.12550667,,,,,,,-0.021397333,,,0.19776,,,0.12550667,
MN,0.491714594,0,0,0,0.491714594,TX,0.246075,0.07302273,0,,,,,,,0.246075,,,0.07302273,,,0,
MO,0.59818561,0.100877193,0.05285965,0.03631579,0.59818561,UT,0,0,0,,,,,,,0,,,0,,,0,
NC,0.519037458,0,0,0,0.519037458,,,,,,,,,,,,,,,,,,
NE,0.635476741,0.8999,0.379,0,0.635476741,,,,,,,,,,,,,,,,,,
NJ,0.427158099,0.2023,0.217,0.172,0.427158099,,,,,,,,,,,,,,,,,,
OR,0.438441611,0,0,0,0.438441611,,,,,,,,,,,,,,,,,,
PA,0.503755358,0.177904478,0.05713433,0,0.503755358,,,,,,,,,,,,,,,,,,
SC,0.574602564,-0.6597,0.141,0.322,0.574602564,,,,,,,,,,,,,,,,,,
TN,0.63624343,-0.021397333,0.19776,0.12550667,0.63624343,,,,,,,,,,,,,,,,,,
TX,0.547132256,0.246075,0.07302273,0,0.547132256,,,,,,,,,,,,,,,,,,
UT,0.623836582,0,0,0,0.623836582,,,,,,,,,,,,,,,,,,
VA,0.471736237,0.077850667,0.154,0.10746667,0.471736237,,,,,,,,,,,,,,,,,,
WA,0.412130688,0.053590476,0.2692381,0.13428571,0.412130688,,,,,,,,,,,,,,,,,,